# My Pokemon Ranch -- renderable Pokemon-model ("Pii") roster
# Extracted from 00000001.app (a DOL) @ vaddr 0x805DA180.
# 651 slots x 0x20 bytes each: { char* name_M, char* name_F, f32 scale, f32 size, u32 flags, u16, u16, u32 }.
# Model names (romaji) live in a blob at 0x8063B228, in National Dex order.
# NOTE: the model-table INDEX below is NOT the Pokemon's species number -- gender
#   variants (_M/_F) and forms each take their own slot, and 173 slots are placeholders
#   (name ptr -> 0x807Cxxxx) for species with no dedicated ranch model. Arceus fills 17
#   slots (632-648); the two eggs are 649 (TAMAGO_NORMAL) and 650 (TAMAGO_MANAFI).
# The talent_pt pokemon_level/met_location fields are SPECIES numbers, not these indices.
#
# index	name_M	name_F	kind
0	HUSIGIDANE	HUSIGIDANE	model
1	HUSIGISOU	HUSIGISOU	model
2	HUSIGIBANA_M	HUSIGIBANA_M	gendered
3	HUSIGIBANA_F	HUSIGIBANA_F	gendered
4	HITOKAGE	HITOKAGE	model
5	<807C0678>	<807C0678>	placeholder
6	RIZAADON	RIZAADON	model
7	ZENIGAME	ZENIGAME	model
8	<807C0680>	<807C0680>	placeholder
9	KAMEKKUSU	KAMEKKUSU	model
10	KYATAPII	KYATAPII	model
11	TORANSERU	TORANSERU	model
12	BATAHURII_M	BATAHURII_M	gendered
13	BATAHURII_F	BATAHURII_F	gendered
14	<807C0688>	<807C0688>	placeholder
15	<807C0690>	<807C0690>	placeholder
16	<807C0698>	<807C0698>	placeholder
17	<807C06A0>	<807C06A0>	placeholder
18	<807C06A8>	<807C06A8>	placeholder
19	PIZYOTTO	PIZYOTTO	model
20	KORATTA_M	KORATTA_F	gendered
21	KORATTA_F	KORATTA_F	gendered
22	<807C06B0>	<807C06B8>	placeholder
23	<807C06B8>	<807C06B8>	placeholder
24	ONISUZUME	ONISUZUME	model
25	ONIDORIRU	ONIDORIRU	model
26	<807C06C0>	<807C06C0>	placeholder
27	<807C06C8>	<807C06C8>	placeholder
28	PIKATYUU_M	PIKATYUU_M	gendered
29	PIKATYUU_F	PIKATYUU_F	gendered
30	RAITYUU_M	RAITYUU_F	gendered
31	RAITYUU_F	RAITYUU_F	gendered
32	<807C06D0>	<807C06D0>	placeholder
33	SANDOPAN	SANDOPAN	model
34	NIDORAN_F	NIDORAN_F	gendered
35	NIDORIINA	NIDORIINA	model
36	NIDOKUIN	NIDOKUIN	model
37	NIDORAN_M	NIDORAN_M	gendered
38	NIDORIINO	NIDORIINO	model
39	NIDOKINGU	NIDOKINGU	model
40	<807C06D8>	<807C06D8>	placeholder
41	<807C06E0>	<807C06E0>	placeholder
42	<807C06E8>	<807C06E8>	placeholder
43	<807C06F0>	<807C06F0>	placeholder
44	<807C06F8>	<807C06F8>	placeholder
