#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

# The endianness of binary files: 0=big endian (default), 1=little endian.
# Little endian is only tested for encoding UTF-8 (need examples of analysis).
@ENDIAN = 0

# If 1, then enable legacy (GameCube) mode for old binary BMG files.
# If enabled, ENCODING is always CP1252.
@LEGACY = 0

# Define encoding of BMG: 1=CP1252, 2=UTF-16/be, 3=Shift-JIS, 4=UTF-8
@ENCODING = 2

# Create »MID1« section: 0=off, 1=on
@BMG-MID = 0

# Size of each element of section 'INF1' (MKW=8).
# This setting has impact to attributes and MKW features.
@INF-SIZE = 0x08

# Default attribute values for this BMG (MKW=[1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#
#------------------------------------------------------------------------------

# This part defines values for unknown parameters of section headers.
@UNKNOWN-INF32-0C =    0xb0000	# 32 bit value of section INF1 offset 0x0c
@UNKNOWN-MID16-0A =     0x1000	# 16 bit value of section MID1 offset 0x0a
@UNKNOWN-MID32-0C =          0	# 32 bit value of section MID1 offset 0x0c

#
#------------------------------------------------------------------------------

     0    = %1${} redet mit %2${}.
     1    = %1${} redet mit %2${}.
     2    = %1${} redet mit %2${}.
     3    = Redet %{} mit jemandem?
     4    = Redet %{} mit jemandem?
     5    = Redet %{} mit jemandem?
     6    = Offenbar hat %{} Hunger.
     7    = %1${} hat %2${} einen Snack gegeben.
     8    = %1${} hat %2${} einen Snack gegeben.
     9    = %{} wirkt glücklich.
     a    = %{} wirkt glücklich.
     b    = %{} wirkt glücklich.
     c    = %{} ist wirklich beliebt!
     d    = %{} ist wirklich beliebt!
     e    = Ich glaube, %1${} jagt %2${} hinterher!
     f    = Ich glaube, %1${} jagt %2${} hinterher!
    10    = Ich glaube, %1${} jagt %2${} hinterher!
    11    = Ich glaube, %{} jagt jemanden!
    12    = Ich glaube, %{} jagt jemanden!
    13    = Ich glaube, %{} jagt jemanden!
    14    = %1${} rennt vor %2${} weg!
    15    = %1${} rennt vor %2${} weg!
    16    = %1${} rennt vor %2${} weg!
    17    = %{} scheint vor jemandem wegzurennen...
    18    = %{} scheint vor jemandem wegzurennen...
    19    = %{} scheint vor jemandem wegzurennen...
    1a    = %1${} streichelt %2${}.
    1b    = %1${} streichelt %2${}.
    1c    = %1${} trägt %2${}.
    1d    = Kann %1${} %2${} hochheben?
    1e    = Ups!
    1f    = %{} hat wohl aufgegeben.
    20    = %{} hat Spaß!
    21    = %{} hat Spaß!
    22    = %{} hat Spaß!
    23    = %{} ist guter Laune!
    24    = %{} ist guter Laune!
    25    = %1${} hat Spaß daran, auf %2${} zu reiten.
    26    = %1${} hat Spaß daran, auf %2${} zu reiten.
    27    = %1${} hat Spaß daran, auf %2${} zu reiten.
    28    = %{} sieht entspannt aus.
    29    = %{} sieht entspannt aus.
    2a    = %1${} ist über %2${} gestolpert!
    2b    = %1${} ist über %2${} gestolpert!
    2c    = %{} schläft tief und fest.
    2d    = %{} schläft tief und fest.
    2e    = %{} schläft tief und fest.
    2f    = %1${} macht ein Nickerchen mit %2${}.
    30    = %1${} spielt mit %2${}.
    31    = Hey!
    32    = %1${} rennt mit %2${} um die Wette.
    33    = %1${} rennt mit %2${} um die Wette.
    34    = %{} hat richtig viel Spaß!
    35    = %{} hat richtig viel Spaß!
    38	= %{} repariert den Zaun.
    39	= %{} repariert den Zaun.
    3a	= %1${} hat %2${} hochgehoben.
    3b	= %1${} hat %2${} hochgehoben.
    3c	= %{} genießt den Marsch mit allen anderen.
    3d	= %{} genießt den Marsch mit allen anderen.
    3e	= %{} genießt den Marsch mit allen anderen.
    3f	= %{} steckt mitten in einer Parade.
    40	= %{} steckt mitten in einer Parade.
    41	= %{} steckt mitten in einer Parade.
    42	= %1${} trägt %2${} herum.
    43	= %1${} trägt %2${} herum.
    44	= %{} sieht enttäuscht aus...
    45	= %{} sieht enttäuscht aus...
    46	= %1${} nimmt %2${} auf den Rücken.
    47	= %1${} nimmt %2${} auf den Rücken.
    48	= Ob %1${} %2${} wohl interessant findet?
    49	= Ob %1${} %2${} wohl interessant findet?
    4a	= Ob %1${} %2${} wohl interessant findet?
    4b	= %{} scheint an irgendetwas interessiert zu sein.
    4c	= %{} scheint an irgendetwas interessiert zu sein.
    4d	= %{} scheint an irgendetwas interessiert zu sein.
    4e	= %1${} scheint sehr neugierig auf %2${} zu sein...
    4f	= %1${} scheint sehr neugierig auf %2${} zu sein...
    50	= %1${} scheint sehr neugierig auf %2${} zu sein...
    51	= Offenbar hat %{} Gefallen an etwas gefunden.
    52	= Offenbar hat %{} Gefallen an etwas gefunden.
    53	= Offenbar hat %{} Gefallen an etwas gefunden.
    54	= %{} macht nichts Besonderes.
    55	= %{} macht nichts Besonderes.
    56	= %{} macht nichts Besonderes.
    57	= Ich glaube, %{} interessiert sich gerade für seine Freunde.
    58	= Ich glaube, %{} möchte mitmachen.
    59	= Ich glaube, %{} möchte mitmachen.
    5a	= Ich glaube, %{} möchte mitmachen.
    5b	= Ich glaube, %{} wird langsam schläfrig.
    5c	= Ich glaube, %{} wird langsam schläfrig.
    5d	= Ich glaube, %{} wird langsam schläfrig.
    5e	= %{} macht eine Pause.
    5f	= %{} macht eine Pause.
    60	= Ich glaube, %{} ist etwas übermütig!
    61	= %{} sieht freundlich aus.
    62	= %1${} mag den Typ %2${} nicht...
    63	= Offenbar ist %{} in der Nacht aktiver.
    64	= %{} macht einen Spaziergang.
    65	= %{} genießt es, in der Nähe seiner Freunde zu sein.
    66	= Ich glaube, %{} will in der Nähe seiner Freunde bleiben.
    67	= %1${} liebt es offenbar, in der Nähe von %2${} zu sein.
    68	= Ich glaube, %1${} möchte in der Nähe von %2${} sein.
    69    = Offenbar hat %{} viel Spaß!
    6a    = Offenbar hat %{} viel Spaß!
    6b    = Offenbar hat %{} viel Spaß!
    6c    = %{} ist weggelaufen!
    6d    = %{} ist weggelaufen!
    6e    = %{} ist weggelaufen!
    6f    = %1${}\n
     + hatte Spaß an der\n
     + %2${}-Herausforderung.
    70    = %{} ist gut ausgewichen.
    71    = %{} wirbelt herum.
    72    = %{} wirbelt herum.
    73    = %{} wirbelt herum.
    74    = %{} ist richtig hoch gesprungen!
    75    = %{} ist richtig hoch gesprungen!
    76    = %{} ist richtig hoch gesprungen!
    77    = %1${} möchte die %2${}-Herausforderung probieren!
    78    = %1${} möchte die %2${}-Herausforderung probieren!
    79    = %1${} möchte die %2${}-Herausforderung probieren!
    7a    = Herausforderung erfolgreich bestanden!
     7c   = %1${} ist in %2${} gehechtet!
    7d    = %1${} ist in %2${} gefallen!
